Ticker,Description,Last,Change,%,Change,Rating,Volume,Market,Capitalization,Price,to,Earnings,Ratio,(TTM),Basic,EPS,(TTM),Number,of,Employees,Sector
ALEX,"Alexander & Baldwin, Inc.",22.64,2.39710538,0.53,Buy,2124878,1654832133,61.79258056,0.3698,618,Finance,,,,,,,,,,
ALF,"ALFI, Inc.",7.54,-8.04878049,-0.66,Strong,Sell,3071342,121954400.605653,,-0.8205,,Technology,Services,,,,,,,,
ALGM,"Allegro MicroSystems, Inc.",35.895,16.84570313,5.175,Strong,Buy,5374978,6807362576.53428,170.37383178,0.2152,3874,Electronic,Technology,,,,,,,,
ALGN,"Align Technology, Inc.",727.83,0.99351992,7.16,Buy,2041172,57506971343.4012,80.90920482,8.8486,18070,Health,Technology,,,,,,,,,
ALGS,"Aligos Therapeutics, Inc.",16.39,7.68725361,1.17,Sell,1170375,698358089.785231,,-3.3457,74,Health,Technology,,,,,,,,,
ALGT,Allegiant,Travel,Company,197.32,4.55701568,8.6,Neutral,553897,3549097509.20416,84.16586894,2.301,3863,Transportation,,,,,,,,
ALHC,"Alignment Healthcare, Inc.",17.99,-4.10447761,-0.77,Sell,728832,3369055320.37805,,-0.6434,775,Health,Services,,,,,,,,,
ALK,"Alaska Air Group, Inc.",57.33,2.21073275,1.24,Sell,4901138,7179591823.55751,,-4.8304,21997,Transportation,,,,,,,,,,
ALKS,Alkermes,plc,29.88,-2.09698558,-0.64,Buy,5546749,4820585675.64809,,-0.3945,2245,Health,Technology,,,,,,,,
ALKT,"Alkami Technology, Inc.",26.22,-6.72358591,-1.89,Strong,Sell,669835,2286036058.85815,,,,Technology,Services,,,,,,,,
ALL,Allstate,Corporation,(The),131.53,-0.01520334,-0.02,Neutral,6602721,38890974800.6853,5.13337257,25.9655,42160,Finance,,,,,,,,
ALLE,Allegion,plc,141.61,-2.04067515,-2.95,Buy,3251400,12701873731.4515,27.74317767,5.1175,11500,Producer,Manufacturing,,,,,,,,
ALLK,Allakos,Inc.,105.1,-0.18993352,-0.2,Buy,935432,5675028118.0754,,-3.8305,125,Health,Technology,,,,,,,,
ALLO,"Allogene Therapeutics, Inc.",24.46,-1.13177041,-0.28,Sell,1755186,3477806598.0032,,-1.8247,265,Health,Technology,,,,,,,,,
